凹甲陆龟	aojialugui	ajlg
熊猴	xionghou	xh
熊狸	xiongli	xl
雪豹	xuebao	xb
雪鸡	xueji	xj
雪兔	xuetu	xt
血雉	xuezhi	xz
鸦鹃	yajuan	yj
亚洲象	yazhouxiang	yzx
岩雷鸟	yanleiniao	yln
岩鹭	yanlu	yl
岩羊	yanyang	yy
扬子鳄	yangzie	yze
野骆驼	yeluotuo	ylt
野马	yema	ym
野牦牛	yemaoniu	ymn
野牛	yeniu	yn
叶猴	yehou	yh
遗鸥	yiou	yo
鹦鹉科	yingwuke	ywk
鹰科其它鹰类	yingkeqitayinglei	ykqtyl
渔猫	yumao	ym
玉带海雕	yudaihaidiao	ydhd
鸳鸯	yuanyang	yy
原鸡	yuanji	yj
鼋	yuan	y
云豹	yunbao	yb
云南闭壳龟	yunnanbikegui	ynbkg
长臂猿	changbiyuan	cby
长脚秧鸡	changjiaoyangji	cjyj
镇海疣螈	zhenhaiyouyuan	zhyy
雉鹑	zhichun	zc
中华白海豚	zhonghuabaihaitun	zhbht
中华秋沙鸭	zhonghuaqiushaya	zhqsy
朱鹮	zhuhuan	zh
紫貂	zidiao	zd
棕背田鸡	zongbeitianji	zbtj
棕熊(包括马熊)	zongxiong(baokuomaxiong)	zx(bkmx)
